datatype,flow,timestamp,value
bitrate,Gold,1612299266,0
packetcount,Bronze,1612299266,0
bitrate,S2,1612299266,0
bitrate,S1,1612299266,0
packetcount,Gold,1612299266,0
bitrate,Bronze,1612299266,0
packetcount,S1,1612299266,0
packetcount,S2,1612299266,0
packetcount,Bronze,1612299267,0
packetcount,S1,1612299267,0
bitrate,Gold,1612299267,0
bitrate,S2,1612299267,0
bitrate,Bronze,1612299267,0
packetcount,Gold,1612299267,0
bitrate,S1,1612299267,0
packetcount,S2,1612299267,0
packetcount,Bronze,1612299268,0
packetcount,Gold,1612299268,0
bitrate,S2,1612299268,0
bitrate,Gold,1612299268,0
bitrate,Bronze,1612299268,0
packetcount,S2,1612299268,0
packetcount,Bronze,1612299269,0
bitrate,Bronze,1612299269,0
bitrate,Gold,1612299269,0
packetcount,Gold,1612299269,0
packetcount,Gold,1612299270,0
bitrate,Gold,1612299270,0
bitrate,Bronze,1612299270,0
packetcount,Bronze,1612299270,0
packetcount,Gold,1612299271,0
bitrate,Gold,1612299271,0
packetcount,S1,1612299268,0
bitrate,S1,1612299268,0
packetcount,S1,1612299269,561
bitrate,S2,1612299269,4556720
packetcount,S2,1612299269,395
bitrate,S1,1612299269,6471696
packetcount,S1,1612299270,803
packetcount,S2,1612299270,804
bitrate,S2,1612299270,9274944
bitrate,S1,1612299270,9263408
packetcount,Bronze,1612299271,1
packetcount,S2,1612299271,803
bitrate,Bronze,1612299271,432
bitrate,S2,1612299271,9263408
packetcount,S1,1612299271,804
bitrate,S1,1612299271,9274944
packetcount,Gold,1612299272,2
packetcount,S1,1612299272,804
bitrate,S1,1612299272,9274944
bitrate,S2,1612299272,9274944
bitrate,Gold,1612299272,864
packetcount,S2,1612299272,804
packetcount,Bronze,1612299272,2
bitrate,Bronze,1612299272,864
packetcount,S2,1612299273,782
packetcount,Bronze,1612299273,1927
bitrate,Bronze,1612299273,22376640
bitrate,S1,1612299273,8951936
packetcount,S1,1612299273,776
bitrate,S2,1612299273,9021152
packetcount,Gold,1612299273,97
bitrate,Gold,1612299273,839936
bitrate,S2,1612299274,9159584
packetcount,Bronze,1612299274,1447
bitrate,Bronze,1612299274,16947264
packetcount,S2,1612299274,794
packetcount,S1,1612299274,789
bitrate,S1,1612299274,9101904
packetcount,Gold,1612299274,1261
bitrate,Gold,1612299274,14762872
packetcount,S1,1612299275,795
bitrate,S2,1612299275,9240336
packetcount,S2,1612299275,801
bitrate,S1,1612299275,9171120
packetcount,Bronze,1612299275,1340
bitrate,Bronze,1612299275,15694080
packetcount,Gold,1612299275,1355
bitrate,Gold,1612299275,15869760
packetcount,S2,1612299276,805
packetcount,Bronze,1612299276,1218
packetcount,S1,1612299276,801
bitrate,S1,1612299276,9240336
bitrate,Bronze,1612299276,14265216
bitrate,S2,1612299276,9286480
packetcount,Gold,1612299276,1467
bitrate,Gold,1612299276,17181504
packetcount,Gold,1612299277,1216
bitrate,S2,1612299277,9217264
bitrate,Gold,1612299277,14241792
packetcount,S2,1612299277,799
packetcount,S1,1612299277,798
bitrate,S1,1612299277,9205728
packetcount,Bronze,1612299277,1476
bitrate,Bronze,1612299277,17286912
bitrate,Gold,1612299278,17497728
packetcount,S2,1612299278,803
packetcount,S1,1612299278,796
bitrate,S2,1612299278,9263408
bitrate,S1,1612299278,9182656
packetcount,Gold,1612299278,1494
bitrate,Bronze,1612299278,14007552
packetcount,Bronze,1612299278,1196
packetcount,S2,1612299279,804
packetcount,Bronze,1612299279,1275
bitrate,S2,1612299279,9274944
bitrate,Bronze,1612299279,14932800
packetcount,Gold,1612299279,1411
packetcount,S1,1612299279,799
bitrate,S1,1612299279,9217264
bitrate,Gold,1612299279,16525632
packetcount,Bronze,1612299280,1105
packetcount,Gold,1612299280,1593
packetcount,S1,1612299280,793
bitrate,S2,1612299280,9205728
packetcount,S2,1612299280,798
bitrate,Gold,1612299280,18657216
bitrate,S1,1612299280,9148048
bitrate,Bronze,1612299280,12941760
packetcount,S2,1612299281,802
bitrate,S2,1612299281,9251872
packetcount,Gold,1612299281,1718
bitrate,Gold,1612299281,20121216
packetcount,S1,1612299281,796
bitrate,Bronze,1612299281,11395776
bitrate,S1,1612299281,9182656
packetcount,Bronze,1612299281,973
packetcount,Gold,1612299282,1348
bitrate,Gold,1612299282,15787776
bitrate,S2,1612299282,9263408
packetcount,S2,1612299282,803
packetcount,S1,1612299282,797
bitrate,S1,1612299282,9194192
bitrate,Bronze,1612299282,15717504
packetcount,Bronze,1612299282,1342
bitrate,S1,1612299283,9217264
packetcount,S1,1612299283,799
packetcount,S2,1612299283,800
bitrate,Gold,1612299283,13047168
bitrate,S2,1612299283,9228800
packetcount,Gold,1612299283,1114
packetcount,Bronze,1612299283,1576
bitrate,Bronze,1612299283,18458112
packetcount,Bronze,1612299284,1572
bitrate,Bronze,1612299284,18411264
packetcount,S1,1612299284,795
bitrate,S1,1612299284,9171120
packetcount,S2,1612299284,806
bitrate,S2,1612299284,9298016
packetcount,Gold,1612299284,1116
bitrate,Gold,1612299284,13070592
bitrate,S2,1612299285,9228800
packetcount,S2,1612299285,800
packetcount,Bronze,1612299285,1407
bitrate,S1,1612299285,9217264
packetcount,S1,1612299285,799
bitrate,Bronze,1612299285,16478784
packetcount,Gold,1612299285,1283
bitrate,Gold,1612299285,15026496
bitrate,Bronze,1612299286,18715776
packetcount,Bronze,1612299286,1598
packetcount,S2,1612299286,801
bitrate,S2,1612299286,9240336
packetcount,S1,1612299286,800
bitrate,S1,1612299286,9228800
packetcount,Gold,1612299286,1090
bitrate,Gold,1612299286,12766080
packetcount,S1,1612299287,796
packetcount,S2,1612299287,801
bitrate,Gold,1612299287,13937280
bitrate,S1,1612299287,9182656
packetcount,Gold,1612299287,1190
bitrate,S2,1612299287,9240336
bitrate,Bronze,1612299287,17579712
packetcount,Bronze,1612299287,1501
packetcount,Bronze,1612299288,1433
bitrate,Bronze,1612299288,16783296
packetcount,S2,1612299288,803
bitrate,S2,1612299288,9263408
packetcount,S1,1612299288,797
bitrate,S1,1612299288,9194192
packetcount,Gold,1612299288,1258
bitrate,Gold,1612299288,14733696
packetcount,Bronze,1612299289,1349
packetcount,S2,1612299289,801
bitrate,Bronze,1612299289,15799488
bitrate,S2,1612299289,9240336
packetcount,S1,1612299289,799
packetcount,Gold,1612299289,1340
bitrate,S1,1612299289,9217264
bitrate,Gold,1612299289,15694080
packetcount,Gold,1612299290,1052
bitrate,S2,1612299290,9217264
packetcount,S1,1612299290,793
bitrate,S1,1612299290,9148048
bitrate,Gold,1612299290,12321024
packetcount,S2,1612299290,799
packetcount,Bronze,1612299290,1644
bitrate,Bronze,1612299290,19254528
packetcount,S1,1612299291,792
bitrate,S1,1612299291,9136512
packetcount,S2,1612299291,800
bitrate,S2,1612299291,9228800
packetcount,Gold,1612299291,1291
packetcount,Bronze,1612299291,1407
bitrate,Bronze,1612299291,16478784
bitrate,Gold,1612299291,15120192
packetcount,Bronze,1612299292,1433
packetcount,S2,1612299292,801
bitrate,S2,1612299292,9240336
bitrate,Bronze,1612299292,16783296
packetcount,S1,1612299292,798
bitrate,S1,1612299292,9205728
packetcount,Gold,1612299292,1256
bitrate,Gold,1612299292,14710272
bitrate,Gold,1612299293,16513920
packetcount,S1,1612299293,795
packetcount,Gold,1612299293,1410
bitrate,S1,1612299293,9171120
packetcount,S2,1612299293,801
bitrate,S2,1612299293,9240336
bitrate,Bronze,1612299293,15038208
packetcount,Bronze,1612299293,1284
packetcount,S1,1612299294,801
packetcount,Gold,1612299294,1617
bitrate,Gold,1612299294,18938304
bitrate,S1,1612299294,9240336
packetcount,S2,1612299294,804
bitrate,S2,1612299294,9274944
packetcount,Bronze,1612299294,1067
bitrate,Bronze,1612299294,12496704
bitrate,S2,1612299295,9251872
bitrate,Bronze,1612299295,16619328
packetcount,Bronze,1612299295,1419
packetcount,S2,1612299295,802
packetcount,S1,1612299295,792
bitrate,S1,1612299295,9136512
bitrate,Gold,1612299295,14956224
packetcount,Gold,1612299295,1277
bitrate,Gold,1612299296,15260736
packetcount,Gold,1612299296,1303
bitrate,S2,1612299296,9240336
packetcount,S1,1612299296,802
packetcount,S2,1612299296,801
bitrate,S1,1612299296,9251872
packetcount,Bronze,1612299296,1383
bitrate,Bronze,1612299296,16197696
packetcount,S2,1612299297,799
bitrate,S2,1612299297,9217264
packetcount,Gold,1612299297,1015
bitrate,Gold,1612299297,11887680
packetcount,S1,1612299297,797
bitrate,S1,1612299297,9194192
packetcount,Bronze,1612299297,1678
bitrate,Bronze,1612299297,19652736
packetcount,Gold,1612299298,1198
bitrate,Gold,1612299298,14030976
packetcount,S2,1612299298,804
bitrate,S2,1612299298,9274944
packetcount,S1,1612299298,795
bitrate,S1,1612299298,9171120
packetcount,Bronze,1612299298,1492
bitrate,Bronze,1612299298,17474304
packetcount,Gold,1612299299,1024
bitrate,Gold,1612299299,11993088
packetcount,S2,1612299299,801
bitrate,S2,1612299299,9240336
packetcount,S1,1612299299,799
bitrate,S1,1612299299,9217264
packetcount,Bronze,1612299299,1665
bitrate,Bronze,1612299299,19500480
packetcount,S2,1612299300,801
packetcount,Gold,1612299300,1523
bitrate,Gold,1612299300,17837376
bitrate,S2,1612299300,9240336
bitrate,S1,1612299300,9136512
packetcount,S1,1612299300,792
packetcount,Bronze,1612299300,1173
bitrate,Bronze,1612299300,13738176
packetcount,Bronze,1612299301,1450
bitrate,Bronze,1612299301,16982400
packetcount,Gold,1612299301,1241
packetcount,S1,1612299301,797
bitrate,S2,1612299301,9240336
packetcount,S2,1612299301,801
bitrate,S1,1612299301,9194192
bitrate,Gold,1612299301,14534592
bitrate,Gold,1612299302,16560768
packetcount,Gold,1612299302,1414
packetcount,S2,1612299302,803
bitrate,S2,1612299302,9263408
packetcount,S1,1612299302,786
bitrate,Bronze,1612299302,15073344
packetcount,Bronze,1612299302,1287
bitrate,S1,1612299302,9067296
packetcount,Gold,1612299303,1530
bitrate,S2,1612299303,9228800
packetcount,S1,1612299303,807
packetcount,S2,1612299303,800
bitrate,S1,1612299303,9309552
bitrate,Gold,1612299303,17919360
packetcount,Bronze,1612299303,1152
bitrate,Bronze,1612299303,13492224
packetcount,Gold,1612299304,1433
packetcount,S2,1612299304,805
bitrate,S2,1612299304,9286480
bitrate,Gold,1612299304,16783296
packetcount,S1,1612299304,795
bitrate,S1,1612299304,9171120
packetcount,Bronze,1612299304,1256
bitrate,Bronze,1612299304,14710272
packetcount,S1,1612299305,788
packetcount,Bronze,1612299305,1417
bitrate,Bronze,1612299305,16595904
bitrate,S1,1612299305,9090368
bitrate,Gold,1612299305,15061632
packetcount,S2,1612299305,798
packetcount,Gold,1612299305,1286
bitrate,S2,1612299305,9205728
packetcount,S1,1612299306,799
bitrate,S1,1612299306,9217264
bitrate,Gold,1612299306,18868032
packetcount,S2,1612299306,803
packetcount,Gold,1612299306,1611
bitrate,S2,1612299306,9263408
packetcount,Bronze,1612299306,1076
bitrate,Bronze,1612299306,12602112
packetcount,S1,1612299307,796
bitrate,S1,1612299307,9182656
bitrate,Bronze,1612299307,14546304
packetcount,Bronze,1612299307,1242
packetcount,Gold,1612299307,1452
packetcount,S2,1612299307,799
bitrate,S2,1612299307,9217264
bitrate,Gold,1612299307,17005824
packetcount,Bronze,1612299308,1532
packetcount,S2,1612299308,803
bitrate,Bronze,1612299308,17942784
bitrate,S2,1612299308,9263408
packetcount,S1,1612299308,794
bitrate,S1,1612299308,9159584
packetcount,Gold,1612299308,1161
bitrate,Gold,1612299308,13597632
bitrate,Gold,1612299309,13539072
packetcount,S1,1612299309,796
packetcount,Gold,1612299309,1156
packetcount,S2,1612299309,803
bitrate,S2,1612299309,9263408
bitrate,S1,1612299309,9182656
bitrate,Bronze,1612299309,17966208
packetcount,Bronze,1612299309,1534
bitrate,S2,1612299310,9251872
packetcount,S2,1612299310,802
bitrate,S1,1612299310,9228800
packetcount,Bronze,1612299310,1550
packetcount,S1,1612299310,800
bitrate,Bronze,1612299310,18153600
packetcount,Gold,1612299310,1137
bitrate,Gold,1612299310,13316544
packetcount,S2,1612299311,802
bitrate,Gold,1612299311,13421952
packetcount,Gold,1612299311,1146
packetcount,S1,1612299311,798
bitrate,S1,1612299311,9205728
bitrate,S2,1612299311,9251872
packetcount,Bronze,1612299311,1543
bitrate,Bronze,1612299311,18071616
packetcount,Gold,1612299312,1079
packetcount,S1,1612299312,797
packetcount,S2,1612299312,800
bitrate,S2,1612299312,9228800
bitrate,Gold,1612299312,12637248
bitrate,Bronze,1612299312,18891456
bitrate,S1,1612299312,9194192
packetcount,Bronze,1612299312,1613
packetcount,Bronze,1612299313,1670
packetcount,S1,1612299313,798
bitrate,S1,1612299313,9205728
bitrate,S2,1612299313,9274944
packetcount,S2,1612299313,804
bitrate,Bronze,1612299313,19559040
