datatype,flow,timestamp,value,time_offset
packetcount,Bronze,1612299263,0,19
packetcount,S1,1612299263,0,19
bitrate,S2,1612299263,0,19
bitrate,S1,1612299263,0,19
packetcount,Gold,1612299264,0,20
bitrate,Gold,1612299264,0,20
packetcount,S2,1612299264,0,20
bitrate,Bronze,1612299264,0,20
bitrate,S2,1612299264,0,20
packetcount,Bronze,1612299264,0,20
packetcount,S1,1612299264,0,20
bitrate,S1,1612299264,0,20
packetcount,S1,1612299265,0,21
packetcount,Gold,1612299265,0,21
bitrate,S1,1612299265,0,21
bitrate,S2,1612299265,0,21
packetcount,S2,1612299265,0,21
packetcount,Bronze,1612299265,0,21
bitrate,Gold,1612299265,0,21
bitrate,Bronze,1612299265,0,21
bitrate,Gold,1612299266,0,22
packetcount,Bronze,1612299266,0,22
bitrate,S2,1612299266,0,22
bitrate,S1,1612299266,0,22
packetcount,Gold,1612299266,0,22
bitrate,Bronze,1612299266,0,22
packetcount,S1,1612299266,0,22
packetcount,S2,1612299266,0,22
packetcount,Bronze,1612299267,0,23
packetcount,S1,1612299267,0,23
bitrate,Gold,1612299267,0,23
bitrate,S2,1612299267,0,23
bitrate,Bronze,1612299267,0,23
packetcount,Gold,1612299267,0,23
bitrate,S1,1612299267,0,23
packetcount,S2,1612299267,0,23
packetcount,Bronze,1612299268,0,24
packetcount,Gold,1612299268,0,24
bitrate,S2,1612299268,0,24
bitrate,Gold,1612299268,0,24
bitrate,Bronze,1612299268,0,24
packetcount,S2,1612299268,0,24
packetcount,S1,1612299268,0,24
bitrate,S1,1612299268,0,24
packetcount,Bronze,1612299269,0,25
bitrate,Bronze,1612299269,0,25
bitrate,Gold,1612299269,0,25
packetcount,Gold,1612299269,0,25
packetcount,S1,1612299269,561,25
bitrate,S2,1612299269,4556720,25
packetcount,S2,1612299269,395,25
bitrate,S1,1612299269,6471696,25
packetcount,Gold,1612299270,0,26
bitrate,Gold,1612299270,0,26
bitrate,Bronze,1612299270,0,26
packetcount,Bronze,1612299270,0,26
packetcount,S1,1612299270,803,26
packetcount,S2,1612299270,804,26
bitrate,S2,1612299270,9274944,26
bitrate,S1,1612299270,9263408,26
packetcount,Gold,1612299271,0,27
bitrate,Gold,1612299271,0,27
packetcount,Bronze,1612299271,1,27
packetcount,S2,1612299271,803,27
bitrate,Bronze,1612299271,432,27
bitrate,S2,1612299271,9263408,27
packetcount,S1,1612299271,804,27
bitrate,S1,1612299271,9274944,27
packetcount,Gold,1612299272,2,28
packetcount,S1,1612299272,804,28
bitrate,S1,1612299272,9274944,28
bitrate,S2,1612299272,9274944,28
bitrate,Gold,1612299272,864,28
packetcount,S2,1612299272,804,28
packetcount,Bronze,1612299272,2,28
bitrate,Bronze,1612299272,864,28
packetcount,S2,1612299273,782,29
packetcount,Bronze,1612299273,1927,29
bitrate,Bronze,1612299273,22376640,29
bitrate,S1,1612299273,8951936,29
packetcount,S1,1612299273,776,29
bitrate,S2,1612299273,9021152,29
packetcount,Gold,1612299273,97,29
bitrate,Gold,1612299273,839936,29
bitrate,S2,1612299274,9159584,30
packetcount,Bronze,1612299274,1447,30
bitrate,Bronze,1612299274,16947264,30
packetcount,S2,1612299274,794,30
packetcount,S1,1612299274,789,30
bitrate,S1,1612299274,9101904,30
packetcount,Gold,1612299274,1261,30
bitrate,Gold,1612299274,14762872,30
packetcount,S1,1612299275,795,31
bitrate,S2,1612299275,9240336,31
packetcount,S2,1612299275,801,31
bitrate,S1,1612299275,9171120,31
packetcount,Bronze,1612299275,1340,31
bitrate,Bronze,1612299275,15694080,31
packetcount,Gold,1612299275,1355,31
bitrate,Gold,1612299275,15869760,31
packetcount,S2,1612299276,805,32
packetcount,Bronze,1612299276,1218,32
packetcount,S1,1612299276,801,32
bitrate,S1,1612299276,9240336,32
bitrate,Bronze,1612299276,14265216,32
bitrate,S2,1612299276,9286480,32
packetcount,Gold,1612299276,1467,32
bitrate,Gold,1612299276,17181504,32
packetcount,Gold,1612299277,1216,33
bitrate,S2,1612299277,9217264,33
bitrate,Gold,1612299277,14241792,33
packetcount,S2,1612299277,799,33
packetcount,S1,1612299277,798,33
bitrate,S1,1612299277,9205728,33
packetcount,Bronze,1612299277,1476,33
bitrate,Bronze,1612299277,17286912,33
bitrate,Gold,1612299278,17497728,34
packetcount,S2,1612299278,803,34
packetcount,S1,1612299278,796,34
bitrate,S2,1612299278,9263408,34
bitrate,S1,1612299278,9182656,34
packetcount,Gold,1612299278,1494,34
bitrate,Bronze,1612299278,14007552,34
packetcount,Bronze,1612299278,1196,34
packetcount,S2,1612299279,804,35
packetcount,Bronze,1612299279,1275,35
bitrate,S2,1612299279,9274944,35
bitrate,Bronze,1612299279,14932800,35
packetcount,Gold,1612299279,1411,35
packetcount,S1,1612299279,799,35
bitrate,S1,1612299279,9217264,35
bitrate,Gold,1612299279,16525632,35
packetcount,Bronze,1612299280,1105,36
packetcount,Gold,1612299280,1593,36
packetcount,S1,1612299280,793,36
bitrate,S2,1612299280,9205728,36
packetcount,S2,1612299280,798,36
bitrate,Gold,1612299280,18657216,36
bitrate,S1,1612299280,9148048,36
bitrate,Bronze,1612299280,12941760,36
packetcount,S2,1612299281,802,37
bitrate,S2,1612299281,9251872,37
packetcount,Gold,1612299281,1718,37
bitrate,Gold,1612299281,20121216,37
packetcount,S1,1612299281,796,37
bitrate,Bronze,1612299281,11395776,37
bitrate,S1,1612299281,9182656,37
packetcount,Bronze,1612299281,973,37
packetcount,Gold,1612299282,1348,38
bitrate,Gold,1612299282,15787776,38
bitrate,S2,1612299282,9263408,38
packetcount,S2,1612299282,803,38
packetcount,S1,1612299282,797,38
bitrate,S1,1612299282,9194192,38
bitrate,Bronze,1612299282,15717504,38
packetcount,Bronze,1612299282,1342,38
bitrate,S1,1612299283,9217264,39
packetcount,S1,1612299283,799,39
packetcount,S2,1612299283,800,39
bitrate,Gold,1612299283,13047168,39
bitrate,S2,1612299283,9228800,39
packetcount,Gold,1612299283,1114,39
packetcount,Bronze,1612299283,1576,39
bitrate,Bronze,1612299283,18458112,39
packetcount,Bronze,1612299284,1572,40
bitrate,Bronze,1612299284,18411264,40
packetcount,S1,1612299284,795,40
bitrate,S1,1612299284,9171120,40
packetcount,S2,1612299284,806,40
bitrate,S2,1612299284,9298016,40
packetcount,Gold,1612299284,1116,40
bitrate,Gold,1612299284,13070592,40
bitrate,S2,1612299285,9228800,41
packetcount,S2,1612299285,800,41
packetcount,Bronze,1612299285,1407,41
bitrate,S1,1612299285,9217264,41
packetcount,S1,1612299285,799,41
bitrate,Bronze,1612299285,16478784,41
packetcount,Gold,1612299285,1283,41
bitrate,Gold,1612299285,15026496,41
bitrate,Bronze,1612299286,18715776,42
packetcount,Bronze,1612299286,1598,42
packetcount,S2,1612299286,801,42
bitrate,S2,1612299286,9240336,42
packetcount,S1,1612299286,800,42
bitrate,S1,1612299286,9228800,42
packetcount,Gold,1612299286,1090,42
bitrate,Gold,1612299286,12766080,42
packetcount,S1,1612299287,796,43
packetcount,S2,1612299287,801,43
bitrate,Gold,1612299287,13937280,43
bitrate,S1,1612299287,9182656,43
packetcount,Gold,1612299287,1190,43
bitrate,S2,1612299287,9240336,43
bitrate,Bronze,1612299287,17579712,43
packetcount,Bronze,1612299287,1501,43
packetcount,Bronze,1612299288,1433,44
bitrate,Bronze,1612299288,16783296,44
packetcount,S2,1612299288,803,44
bitrate,S2,1612299288,9263408,44
packetcount,S1,1612299288,797,44
bitrate,S1,1612299288,9194192,44
packetcount,Gold,1612299288,1258,44
bitrate,Gold,1612299288,14733696,44
packetcount,Bronze,1612299289,1349,45
packetcount,S2,1612299289,801,45
bitrate,Bronze,1612299289,15799488,45
bitrate,S2,1612299289,9240336,45
packetcount,S1,1612299289,799,45
packetcount,Gold,1612299289,1340,45
bitrate,S1,1612299289,9217264,45
bitrate,Gold,1612299289,15694080,45
packetcount,Gold,1612299290,1052,46
bitrate,S2,1612299290,9217264,46
packetcount,S1,1612299290,793,46
bitrate,S1,1612299290,9148048,46
bitrate,Gold,1612299290,12321024,46
packetcount,S2,1612299290,799,46
packetcount,Bronze,1612299290,1644,46
bitrate,Bronze,1612299290,19254528,46
packetcount,S1,1612299291,792,47
bitrate,S1,1612299291,9136512,47
packetcount,S2,1612299291,800,47
bitrate,S2,1612299291,9228800,47
packetcount,Gold,1612299291,1291,47
packetcount,Bronze,1612299291,1407,47
bitrate,Bronze,1612299291,16478784,47
bitrate,Gold,1612299291,15120192,47
packetcount,Bronze,1612299292,1433,48
packetcount,S2,1612299292,801,48
bitrate,S2,1612299292,9240336,48
bitrate,Bronze,1612299292,16783296,48
packetcount,S1,1612299292,798,48
bitrate,S1,1612299292,9205728,48
packetcount,Gold,1612299292,1256,48
bitrate,Gold,1612299292,14710272,48
bitrate,Gold,1612299293,16513920,49
packetcount,S1,1612299293,795,49
packetcount,Gold,1612299293,1410,49
bitrate,S1,1612299293,9171120,49
packetcount,S2,1612299293,801,49
bitrate,S2,1612299293,9240336,49
bitrate,Bronze,1612299293,15038208,49
packetcount,Bronze,1612299293,1284,49
packetcount,S1,1612299294,801,50
packetcount,Gold,1612299294,1617,50
bitrate,Gold,1612299294,18938304,50
bitrate,S1,1612299294,9240336,50
packetcount,S2,1612299294,804,50
bitrate,S2,1612299294,9274944,50
packetcount,Bronze,1612299294,1067,50
bitrate,Bronze,1612299294,12496704,50
bitrate,S2,1612299295,9251872,51
bitrate,Bronze,1612299295,16619328,51
